Gene Name	Accession-1	Left-End-Position	Right-End-Position	Regulation - transcription units of gene	Object ID	Transcription units - promoter of operon	Transcription units - binding sites	Transcription units - regulators of operon	Regulation - direct regulators of gene	Regulation - transcription factor regulators of gene
brnQ	b0401	419591	420910	brnQ-proY	EG12168	brnQp			DNA-binding transcriptional dual regulator Lrp	
ycbZ	b0955	1016539	1018299	ycbZ	G6493					
aaeR	b3243	3389520	3390449	aaeR	G7688	aaeRp	CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 2.5 bases upstream of aaeRp	CRP-cAMP DNA-binding transcriptional dual regulator	CRP-cAMP DNA-binding transcriptional dual regulator	CRP-cAMP DNA-binding transcriptional dual regulator
frvB	b3899	4090915	4092366	frvABXR	EG11863					
digH	b1491	1567504	1568823	digH	G6785					
aat	b0885	926728	927432	aat	EG11112					
hxpB	b1727	1809380	1810048	hxpB	G6932	hxpBp			DNA-binding transcriptional dual regulator Nac	
hcaR	b2537	2668006	2668896	hcaR	G7331	hcaRp	DNA-binding transcriptional dual regulator HcaR DNA-binding-site 42 bases upstream of hcaEp	e14 prophage; small regulatory RNA C0293 // DNA-binding transcriptional dual regulator HcaR	DNA-binding transcriptional dual regulator Nac // e14 prophage; small regulatory RNA C0293 // DNA-binding transcriptional dual regulator HcaR	DNA-binding transcriptional dual regulator HcaR
ynbC	b1410	1479138	1480895	ynbABCD	G6729	ynbAp	RcsB-BglJ DNA-binding-site 65.5 bases upstream of ynbAp	RcsB-BglJ DNA-binding transcriptional activator	RcsB-BglJ DNA-binding transcriptional activator	RcsB-BglJ DNA-binding transcriptional activator
lomR_2	b1371	1428796	1428984	stfR-tfaR	G6694					
actP	b4067	4283253	4284902	acs-yjcHG // actP // acs-yjcHG // acs-yjcHG	EG11942	acsp // actPp // acsp2 // acsp1	IHF DNA-binding-site 180 bases upstream of acsp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 122.5 bases upstream of acsp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 69.5 bases upstream of acsp // IHF DNA-binding-site 153 bases upstream of acsp // Fis DNA-binding-site 98 bases upstream of acsp // Fis DNA-binding-site 59 bases upstream of acsp // Fis DNA-binding-site 265 bases upstream of acsp // IHF DNA-binding-site 225 bases upstream of acsp // 	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator IHF // 	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma 54 (sigma N) factor // RNA polymerase, sigma S (sigma 38) factor // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator Rob	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator IHF
rseP	b0176	196546	197898	rseP	EG12436	rsePp			RNA polymerase sigma E factor	
ydjF	b1770	1854096	1854854	ydjF	G6957					
chbA	b1736	1819455	1819805	chbBCARFG	EG10142	chbBp	NagC DNA-binding-site 1 bases downstream of chbBp // NagC DNA-binding-site 112 bases upstream of chbBp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 83.5 bases upstream of chbBp // ChbR DNA-binding-site 38 bases upstream of chbBp // ChbR DNA-binding-site 61 bases upstream of chbBp	CRP-cAMP DNA-binding transcriptional dual regulator // ChbR-<i>N</i>-monoacetylchitobiose 6'-phosphate // DNA binding transcriptional dual regulator ChbR // DNA-binding transcriptional dual regulator NagC	CRP-cAMP DNA-binding transcriptional dual regulator // ChbR-<i>N</i>-monoacetylchitobiose 6'-phosphate // DNA binding transcriptional dual regulator ChbR // DNA-binding transcriptional dual regulator NagC	DNA binding transcriptional dual regulator ChbR // DNA-binding transcriptional dual regulator NagC // CRP-cAMP DNA-binding transcriptional dual regulator // ChbR-<i>N</i>-monoacetylchitobiose 6'-phosphate
pepE	b4021	4229453	4230142	pepE	EG11920					
yjjX	b4394	4633233	4633745	yjjX	EG12600					
abgR	b1339	1404741	1405649	abgR	G6671		CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site regulating abgR // Nac DNA-binding-site regulating abgR	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Nac	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Nac	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Nac
ybjP	b0865	903952	904467	ybjP	G6450	ybjPp		ppGpp	RNA polymerase, sigma S (sigma 38) factor // ppGpp // DNA-binding transcriptional dual regulator Nac	
stfE	b1157	1209119	1209655	stfE-tfaE	G6599					
yidK	b3679	3858401	3860116	yidKJ	EG11706					
pepQ	b3847	4031161	4032492	pepQ-yigZ-trkH-hemG	EG10698	pepQp				
allR	b0506	533011	533826	allR	G6276	allRp			DNA-binding transcriptional dual regulator Nac	
srlA	b2702	2825832	2826395	srlAEBD-gutM-srlR-gutQ	G8210	srlAp	H-NS DNA-binding-site regulating srlAp // SrlR DNA-binding-site regulating srlAp // GutM DNA-binding-site regulating srlAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of srlAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 342 bases upstream of srlAp	DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional activator GutM // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor SrlR	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional activator GutM // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor SrlR // small regulatory RNA Spot 42	DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional repressor SrlR // DNA-binding transcriptional activator GutM // CRP-cAMP DNA-binding transcriptional dual regulator
yaiU	b0374	392970	394418		G6225					
pepD	b0237	254259	255716	pepD // pepD // pepD	EG10695	pepDp3 // pepDp1 // pepDp2	CsgD DNA-binding-site 2 bases downstream of pepDp3 // 	DNA-binding transcriptional dual regulator CsgD // 	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator CsgD // DNA-binding transcriptional dual regulator Lrp	DNA-binding transcriptional dual regulator CsgD
yieF	b3713	3894652	3895218	yieEF	EG11723	yieEp			RNA polymerase sigma E factor	
yebK	b1853	1936652	1937521	yebK	EG12860		YebK DNA-binding-site regulating yebK	DNA-binding transcriptional repressor YebK	DNA-binding transcriptional repressor YebK	DNA-binding transcriptional repressor YebK
yafV	b0219	239419	240189	yafV	G6103	yafVp			DNA-binding transcriptional dual regulator Nac	
ybcY	b0562	582152	582806	ybcY	G6316					
kup	b3747	3931316	3933184	kup // kup // kup	EG11541	kupp3 // kupp2 // kupp1				
degQ	b3234	3380743	3382110	degQ // degQS	G7682	degQp // degQp1			RNA polymerase, sigma 70 (sigma D) factor	
rcdB	b3521	3672414	3673313	yhjC	EG12247	yhjCp	PhoB-Pasp53 DNA-binding-site regulating yhjCp	Phosphorylated DNA-binding transcriptional dual regulator PhoB	RNA polymerase, sigma 54 (sigma N) factor // Phosphorylated DNA-binding transcriptional dual regulator PhoB	Phosphorylated DNA-binding transcriptional dual regulator PhoB
sgcA	b4302	4527549	4527980	sgcXBCQAER	EG12554		CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site regulating sgcXBCQAER // SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8641) // SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8639)	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator SlyA	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator SlyA	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator SlyA
azuC	b4663	1987873	1987959	azuC	G0-10653	azuCp	CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 48.5 bases upstream of azuCp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 18.5 bases upstream of azuCp	CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator	CRP-cAMP DNA-binding transcriptional dual regulator
degP	b0161	180884	182308	degP	EG10463	degPp	H-NS DNA-binding-site regulating degPp // CpxR response regulator - phosphorylated DNA-binding-site 71.5 bases upstream of degPp // CpxR response regulator - phosphorylated DNA-binding-site 223 bases upstream of degPp // CpxR response regulator - phosphorylated DNA-binding-site 63 bases upstream of degPp	Phosphorylated DNA-binding transcriptional dual regulator CpxR // DNA-binding transcriptional dual regulator H-NS	RNA polymerase sigma E factor // Phosphorylated DNA-binding transcriptional dual regulator CpxR // DNA-binding transcriptional dual regulator H-NS	DNA-binding transcriptional dual regulator H-NS // Phosphorylated DNA-binding transcriptional dual regulator CpxR
gstA	b1635	1714377	1714982	gstA	G6878	gstAp				
yeiL	b2163	2255355	2256014	yeiL // yeiL	EG12031	 // yeiLp	 // Fnr DNA-binding-site 28.5 bases upstream of yeiLp // Lrp-leu DNA-binding-site 120 bases upstream of yeiLp // IHF DNA-binding-site 193 bases upstream of yeiLp // IHF DNA-binding-site 227 bases upstream of yeiLp // YeiL DNA-binding-site regulating yeiLp	 // Lrp-Leucine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional activator YeiL // DNA-binding transcriptional dual regulator FNR	RNA polymerase, sigma S (sigma 38) factor // Lrp-Leucine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional activator YeiL // DNA-binding transcriptional dual regulator FNR	DNA-binding transcriptional dual regulator FNR // Lrp-Leucine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional activator YeiL
appX	b4592	1040445	1040537	appCBA-yccB // appCBA-yccB	G0-10588	appCp2 // appCp	ArcA-Pasp54 DNA-binding-site regulating appCp2 // AppY DNA-binding-site regulating appCp2 // YdeO DNA-binding-site 27.5 bases upstream of appCp2	Phosphorylated DNA-binding transcriptional dual regulator ArcA // DLP12 prophage; DNA-binding transcriptional activator AppY // DNA-binding transcriptional dual regulator YdeO	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma S (sigma 38) factor // DNA-binding transcriptional dual regulator YdeO // DLP12 prophage; DNA-binding transcriptional activator AppY // Phosphorylated DNA-binding transcriptional dual regulator ArcA	DNA-binding transcriptional dual regulator YdeO // DLP12 prophage; DNA-binding transcriptional activator AppY // Phosphorylated DNA-binding transcriptional dual regulator ArcA
ybcK	b0544	568902	570428	ybcK	G6300		Nac DNA-binding-site regulating ybcK	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac
focA	b0904	953609	954466	focA-pflB // focA-pflB // focA-pflB	EG11258	focAp3 // focAp2 // focAp1	NarL-Pasp59 DNA-binding-site 25 bases upstream of focAp3 // NarL-Pasp59 DNA-binding-site 27 bases upstream of focAp3 // NarL-Pasp59 DNA-binding-site 36 bases downstream of focAp3 // NarL-Pasp59 DNA-binding-site 52 bases downstream of focAp3 // NarL-Pasp59 DNA-binding-site 69 bases downstream of focAp3 // NarL-Pasp59 DNA-binding-site 87 bases downstream of focAp3 // NarL-Pasp59 DNA-binding-site 96 bases downstream of focAp3 // NarL-Pasp59 DNA-binding-site 170 bases downstream of focAp3 // NarL-Pasp59 DNA-binding-site 221 bases downstream of focAp3 // NarL-Pasp59 DNA-binding-site 285 bases downstream of focAp3 // NarL-Pasp59 DNA-binding-site 302 bases downstream of focAp3 // Fnr DNA-binding-site 58.5 bases upstream of focAp3 // ArcA-Pasp54 DNA-binding-site 5 bases downstream of focAp2 // ArcA-Pasp54 DNA-binding-site 114 bases upstream of focAp1 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of focAp1 // IHF DNA-binding-site 112.5 bases upstream of focAp1 // Fnr DNA-binding-site 40.5 bases upstream of focAp1 // ArcA-Pasp54 DNA-binding-site 251 bases upstream of focAp1	DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator ArcA // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator IHF	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator ArcA	Phosphorylated DNA-binding transcriptional dual regulator NarL // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator ArcA
yccA	b0970	1030759	1031418	yccA	EG11113	yccAp	CpxR response regulator - phosphorylated DNA-binding-site 53 bases upstream of yccAp	Phosphorylated DNA-binding transcriptional dual regulator CpxR	RNA polymerase, sigma 70 (sigma D) factor // Phosphorylated DNA-binding transcriptional dual regulator CpxR	Phosphorylated DNA-binding transcriptional dual regulator CpxR
rsd	b3995	4196332	4196808	rsd // rsd	EG11738	rsdp2 // rsdp1	SlyA DNA-binding-site regulating rsdp2 // SdiA DNA-binding-site regulating rsdp2 // RcdA DNA-binding-site regulating rsdp2 // McbR DNA-binding-site regulating rsdp2 // ArcA-Pasp54 DNA-binding-site regulating rsdp2 // 	DNA-binding transcriptional dual regulator SlyA // DNA-binding transcriptional dual regulator SdiA // DNA-binding transcriptional regulator RcdA // DNA-binding transcriptional dual regulator McbR // Phosphorylated DNA-binding transcriptional dual regulator ArcA // 	RNA polymerase, sigma S (sigma 38) factor // RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator SlyA // DNA-binding transcriptional dual regulator SdiA // DNA-binding transcriptional regulator RcdA // DNA-binding transcriptional dual regulator McbR // DNA-binding transcriptional dual regulator Lrp // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator SlyA // DNA-binding transcriptional dual regulator SdiA // DNA-binding transcriptional regulator RcdA // DNA-binding transcriptional dual regulator McbR // Phosphorylated DNA-binding transcriptional dual regulator ArcA
glvC	b3683	3862497	3863603	glvCBG-ysdC	EG11710					
yccJ	b1003	1066864	1067091	wrbA-yccJ	EG12703	wrbAp	CsgD DNA-binding-site 166.5 bases upstream of wrbAp // CsgD DNA-binding-site 136.5 bases upstream of wrbAp // CsgD DNA-binding-site 114.5 bases upstream of wrbAp	ppGpp // DNA-binding transcriptional dual regulator CsgD	RNA polymerase, sigma S (sigma 38) factor // ppGpp // DNA-binding transcriptional dual regulator CsgD	DNA-binding transcriptional dual regulator CsgD
clpP	b0437	456677	457300	clpPX // clpPX // clpPX	EG10158	clpPp3 // clpPp2 // clpPp1			DNA-binding transcriptional dual regulator Lrp // RNA polymerase, sigma 32 (sigma H) factor // RNA polymerase, sigma 70 (sigma D) factor	
arsC	b3503	3650237	3650662	arsRBC	EG12237	arsRp	ArsR DNA-binding-site 41.5 bases upstream of arsRp	DNA-binding transcriptional repressor ArsR	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional repressor ArsR	DNA-binding transcriptional repressor ArsR
marR	b1530	1619120	1619554	marRAB	EG11435	marRp	CpxR response regulator - phosphorylated DNA-binding-site 29 bases upstream of marRp // AcrR DNA-binding-site 40.5 bases upstream of marRp // Cra DNA-binding-site 72.5 bases upstream of marRp // MarR DNA-binding-site 18 bases upstream of marRp // MarR DNA-binding-site 17 bases downstream of marRp // MarA DNA-binding-site 61.5 bases upstream of marRp // SoxS DNA-binding-site 61.5 bases upstream of marRp // Fis DNA-binding-site 81 bases upstream of marRp // Rob DNA-binding-site 61.5 bases upstream of marRp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 52.5 bases upstream of marRp	Phosphorylated DNA-binding transcriptional dual regulator CpxR // DNA-binding transcriptional dual regulator MarA // DNA-binding transcriptional dual regulator SoxS // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator Rob // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor AcrR // DNA-binding transcriptional dual regulator Cra // DNA-binding transcriptional repressor MarR	RNA polymerase, sigma 70 (sigma D) factor // Phosphorylated DNA-binding transcriptional dual regulator CpxR // DNA-binding transcriptional dual regulator MarA // DNA-binding transcriptional dual regulator SoxS // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator Rob // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Nac // DNA-binding transcriptional repressor AcrR // DNA-binding transcriptional dual regulator Cra // DNA-binding transcriptional repressor MarR	Phosphorylated DNA-binding transcriptional dual regulator CpxR // DNA-binding transcriptional repressor AcrR // DNA-binding transcriptional dual regulator Cra // DNA-binding transcriptional repressor MarR // DNA-binding transcriptional dual regulator MarA // DNA-binding transcriptional dual regulator SoxS // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator Rob // CRP-cAMP DNA-binding transcriptional dual regulator
